,0
0,0.8861901513229853
1,1.0201869161256703
2,0.5989553688683849
3,0.41978941266516046
4,-0.29246181065067844
5,0.7560532533030333
6,0.4175795136789837
7,0.550448749482598
8,0.12932798404072443
9,-0.13913915247749387
10,0.5060849105866865
11,0.4271619207795858
12,0.5460984902330388
13,0.24774713491600053
14,0.35594197022066254
15,0.1876437203181709
16,0.1787566645822487
17,0.12244628642949351
18,0.3629725857730044
19,0.4914612097448092
20,0.5429004291607527
21,0.15891654150135537
22,-0.08180607378322335
23,0.04935623638187181
24,0.15651251749723727
25,0.5369753458369075
26,0.17496304018390774
